Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
14815;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
17840;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
20119;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
21965;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
24548;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
25077;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25319;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25417;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25781;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25793;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25847;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
25903;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26369;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26718;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
26811;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
27793;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
27828;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28609;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
28829;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29140;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
29612;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
29652;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30040;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30218;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30224;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30371;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30817;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
30845;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31209;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
31327;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
31402;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32239;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32488;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32598;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32615;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32759;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32792;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
32981;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33462;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
33663;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33748;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
33793;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34090;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34167;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34408;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34568;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34735;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34792;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
34951;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35650;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
35955;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
36044;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36161;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36614;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
36989;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37198;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37574;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
37580;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37628;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37630;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
37728;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38253;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38478;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38678;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38692;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
38869;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
39424;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40402;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
40605;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
40985;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41308;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41398;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41519;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41850;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41919;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
41931;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42277;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42563;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
42675;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42716;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42790;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
42820;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43127;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43186;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
43480;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43540;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43559;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43762;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
43774;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44089;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44166;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44342;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
44784;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45195;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45402;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
45759;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
45934;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
